Year,Month,State,Genus Species,Serotype or Genotype,Etiology Status,Location of Preparation,Illnesses,Hospitalizations,Deaths,Food Vehicle,Contaminated Ingredient
2009,1,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,21,0,0,ice,
2009,1,Connecticut,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),7,2,0,"lasagna, vegetarian",
2009,2,Connecticut,Salmonella enterica,Typhimurium,Confirmed,"Restaurant - other or unknown type; Private home/residence; Fair, festival, other temp or mobile services",4,1,0,,
2009,1,California,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,0,bun,
2009,4,Illinois,,,,Restaurant - other or unknown type,2,0,0,,
2009,4,Minnesota,Norovirus,,Confirmed,Restaurant - Sit-down dining,10,0,0,,
2009,1,Missouri,,,,Banquet Facility (food prepared and served on-site),40,0,0,,
2009,4,New York,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,13,4,0,"lamb, chops",
2009,3,New York,,,,Restaurant - Sit-down dining,3,0,0,"ribs, pork",pork
2009,3,Oklahoma,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,25,4,0,,
2009,4,Ohio,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",10,0,0,,
2009,3,Alabama,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,35,0,0,,
2009,2,Wisconsin,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),16,0,0,cake,
2009,1,South Carolina,,,,Caterer (food prepared off-site from where served),14,0,0,,
2009,1,South Carolina,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,4,0,0,,
2009,4,Illinois,,,,Restaurant - other or unknown type,3,1,0,,
2009,4,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,4,1,0,,
2009,1,California,,,,Restaurant - Sit-down dining,4,0,0,,
2009,4,Ohio,,,,Other (describe in remarks),3,0,0,"sandwich, steak",
2009,3,Oregon,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",12,,0,,
2009,3,Oregon,Norovirus Genogroup II,,Confirmed,School/college/university,49,0,0,,
2009,4,Hawaii,Histamine,,Confirmed,Prison/jail,13,0,0,"fish, ahi","fish, ahi"
2009,3,Connecticut,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Office/indoor workplace,60,5,0,chicken tenders,
2009,4,Illinois,Norovirus,,Suspected,Office/indoor workplace,11,0,0,,
2009,5,Ohio,Clostridium perfringens,,Confirmed,Private home/residence,23,0,0,chicken,
2009,4,Minnesota,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",17,0,0,,
2009,4,Ohio,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,3,2,0,"ground beef, cheeseburger",
2009,2,Mississippi,Norovirus unknown; Staphylococcus unknown,,Confirmed; Confirmed,Prison/jail,66,0,0,cabbage; ice,
2009,2,Mississippi,Salmonella enterica,Enteritidis,Confirmed,Prison/jail,184,3,0,,
2009,4,Iowa,Norovirus Genogroup II,,Confirmed,,27,1,0,lettuce based salads,
2009,4,Oregon,,,,Restaurant - Sit-down dining,11,0,0,,
2009,4,Connecticut,,,,Private home/residence,5,1,0,asparagus; horseradish,
2009,4,Connecticut,Bacillus cereus,,Confirmed,School/college/university; Other (describe in remarks),47,0,0,macaroni and cheese,
2009,5,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,13,0,0,filet mignon appetizer,
2009,4,Wisconsin,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,8,0,0,,
2009,1,California,Norovirus unknown,,Suspected,,10,0,0,,
2009,3,New York,Salmonella enterica,Saintpaul,Confirmed,Unknown,3,0,0,,
2009,4,Wisconsin,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,14,2,0,deviled eggs,
2009,2,Florida,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,1,0,"salad, unspecified",
2009,4,Pennsylvania,,,,,5,0,0,,
2009,2,Florida,Norovirus,,Confirmed,Banquet Facility (food prepared and served on-site),30,0,0,vinagarette-based dressing,
2009,5,Pennsylvania,Campylobacter jejuni,,Confirmed,Private home/residence,2,0,0,"milk, whole milk unpasteurized",
2009,5,Illinois,,,,Caterer (food prepared off-site from where served),5,0,0,,
2009,5,Illinois,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),39,0,0,,
2009,5,Illinois,Norovirus Genogroup I,,Suspected,Private home/residence,32,0,0,,
2009,5,Illinois,,,,Restaurant - other or unknown type,18,0,0,,
2009,1,California,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,10,0,0,,
2009,1,California,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,7,0,0,,
2009,2,California,,,,Restaurant - Sit-down dining,4,0,0,spring roll,
2009,5,Ohio,Mycotoxins,,Confirmed,,2,0,0,candy,
2009,2,California,Norovirus unknown,,Suspected,,9,0,0,,
2009,2,California,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,0,,
2009,2,California,,,,Restaurant - Sit-down dining,5,0,0,,
2009,3,California,,,,,31,0,0,,
2009,3,California,Bacillus cereus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter); Private home/residence; Grocery store",7,0,0,bean dishes,
2009,4,California,Other - Bacterium,,Suspected,,7,0,0,,
2009,4,California,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",9,0,0,,
2009,5,Ohio,Norovirus Genogroup II,GII_4 Minerva (2006),Confirmed,Restaurant - Sit-down dining,15,0,0,,
2009,5,New York,Bacillus cereus,,Suspected,Banquet Facility (food prepared and served on-site),20,1,0,"chicken, chimichanga",chicken
2009,5,Virginia,Staphylococcus aureus,,Confirmed,Private home/residence; Religious facility,19,0,0,egg salad/egg salad sandwich,
2009,5,South Carolina,Clostridium perfringens,,Confirmed,Private home/residence,350,0,0,"beans, baked",
2009,1,South Carolina,Norovirus Genogroup II,,Confirmed,,13,0,0,,
2009,5,Arizona,Enterococcus faecalis,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",13,0,0,"sandwich, submarine",
2009,5,Connecticut,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,2,0,0,,
2009,6,Virginia,Staphylococcus aureus,,Suspected,Other (describe in remarks),12,0,0,"chicken, strips",
2009,1,Wisconsin,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,62,1,0,,
2009,6,Minnesota,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,4,0,0,potato salad,
2009,5,Wisconsin,,,,,49,,,,
2009,6,Ohio,Campylobacter unknown,,Suspected,Restaurant - Sit-down dining,2,1,0,,
2009,5,California,Norovirus unknown,,Suspected,Private home/residence,26,0,0,cactus salad; multiple foods,
2009,6,Maryland,,,,Restaurant - Sit-down dining,3,0,0,chicken fried rice,
2009,5,Wisconsin,"Escherichia coli, Enterotoxigenic",,Confirmed,,8,0,0,,
2009,1,Maryland,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,12,0,0,,
2009,4,Massachusetts,Salmonella enterica,Typhimurium,Confirmed,Private home/residence,50,,0,,
2009,1,Maryland,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,13,0,0,,
2009,4,California,Norovirus unknown,,Confirmed,,18,0,0,"egg-containing food, other",
2009,5,Minnesota,Norovirus,,Suspected,Private home/residence,11,0,0,potato salad,
2009,4,Maryland,,,,,7,0,0,,
2009,4,Virginia,Brucella unknown,,Confirmed,Other (describe in remarks),4,1,0,goat cheese; cow cheese,
2009,6,Tennessee,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,11,0,0,cheese dip,
2009,4,Kansas,,,,Restaurant - Sit-down dining,4,0,0,pork,pork
2009,6,Illinois,,,,Restaurant - Sit-down dining,3,0,0,,
2009,6,Illinois,,,,Restaurant - Sit-down dining,2,0,0,,
2009,6,Illinois,Norovirus Genogroup I,,Suspected,Other (describe in remarks),25,1,0,,
2009,6,Illinois,,,,Restaurant - other or unknown type,3,0,0,,
2009,6,Illinois,,,,Caterer (food prepared off-site from where served),43,0,0,,
2009,6,Illinois,,,,Caterer (food prepared off-site from where served),35,0,0,roast beef,
2009,6,New York,Campylobacter jejuni,,Confirmed,Other (describe in remarks),9,0,0,,
2009,5,Colorado,,,,Restaurant - Sit-down dining,5,0,0,,
2009,2,Washington,Norovirus,,Suspected,,13,3,0,"salad, unspecified",
2009,3,Ohio,Norovirus Genogroup II,,Confirmed,,19,0,0,,
2009,2,Ohio,Norovirus Genogroup II,,Suspected,Other (describe in remarks),5,0,0,salad bar; pasta salad with tuna and mayonnaise,
2009,6,Connecticut,Bacillus cereus,,Confirmed,Caterer (food prepared off-site from where served),100,0,0,macaroni and cheese,
2009,6,Connecticut,Norovirus,,Suspected,Other (describe in remarks),10,0,0,"orange juice, pasteurized",
2009,6,Connecticut,Scombroid toxin,,Confirmed,Private home/residence,2,0,0,tuna steak,tuna steak
2009,6,Massachusetts,Campylobacter jejuni,,Confirmed,,70,2,0,,
2009,6,Minnesota,Clostridium perfringens,,Confirmed,Private home/residence; Caterer (food prepared off-site from where served),18,0,0,"roast beef, unspecified",
2009,6,Minnesota,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Restaurant - Sit-down dining,2,1,0,steak,
2009,2,Georgia,Norovirus Genogroup II,,Suspected,Banquet Facility (food prepared and served on-site),8,0,0,,
2009,5,New York,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,19,2,0,malai kofta,
2009,6,Missouri,,,,Restaurant - Sit-down dining,11,0,0,,
2009,5,Missouri,Salmonella enterica,Oranienburg,Confirmed,Private home/residence,5,1,0,,
2009,5,California,Norovirus unknown,,Suspected,Restaurant - other or unknown type,10,0,0,,
2009,4,California,Other - Chemical/Toxin,,Confirmed,"Fair, festival, other temp or mobile services",6,0,0,"cake, brownie",
2009,1,Ohio,,,,Restaurant - Sit-down dining,2,0,0,,
2009,6,New Mexico,Salmonella enterica,Enteritidis,Confirmed,,3,0,0,,
2009,2,Ohio,,,,Restaurant - Sit-down dining,2,0,0,,
2009,1,Ohio,,,,Restaurant - other or unknown type,2,0,0,,
2009,6,Ohio,,,,Unknown,15,0,0,,
2009,6,Minnesota,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Caterer (food prepared off-site from where served); Grocery store,16,3,0,,
2009,1,Ohio,,,,Restaurant - Sit-down dining,4,0,0,,
2009,6,Ohio,"Escherichia coli, Shiga toxin-producing",O157:H7,Suspected,Private home/residence,2,2,0,"ground beef, hamburger",
2009,3,Ohio,,,,Restaurant - Sit-down dining,4,2,0,"pizza, meat; pizza, meat; cheesy bread stick",
2009,5,Florida,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,30,0,0,,
2009,1,Florida,Norovirus Genogroup II,,Confirmed,,24,0,0,,
2009,5,Oklahoma,Staphylococcus aureus,,Confirmed,,39,0,0,chicken salad,
2009,6,Tennessee,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6,0,0,"sandwich, roast beef",
2009,1,Ohio,Norovirus Genogroup II,GII_12,Confirmed,Caterer (food prepared off-site from where served),22,0,0,"sandwich, deli",
2009,5,California,Norovirus,,Confirmed,,14,0,0,,
2009,5,California,Bacillus cereus,,Suspected,Restaurant - Sit-down dining,4,0,0,,
2009,5,California,,,,Restaurant - other or unknown type,21,0,0,,
2009,1,Florida,Ciguatoxin,,Confirmed,Private home/residence,3,,,"fish, baracuda",
2009,1,Florida,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,3,,,"squid/calamari, unspecified",
2009,7,Missouri,,,,Other (describe in remarks),25,0,0,"onion, unspecified",
2009,3,Ohio,,,,,2,0,0,,
2009,6,Florida,Ciguatoxin,,Confirmed,Restaurant - Sit-down dining,5,,,"fish, grouper",
2009,6,Florida,Ciguatoxin,,Confirmed,Private home/residence,4,,,"fish, baracuda",
2009,6,Florida,Ciguatoxin,,Confirmed,Private home/residence,2,,,"fish, baracuda",
2009,4,Michigan,,,,Caterer (food prepared off-site from where served),13,0,0,"chicken, unspecified; macaroni and cheese; turkey dishes","cream sauce; cheese, unspecified"
2009,3,Michigan,,,,,9,,0,,
2009,4,Michigan,,,,Restaurant - other or unknown type,2,,0,,
2009,3,Michigan,,,,Restaurant - other or unknown type,7,0,0,,
2009,5,California,,,,Restaurant - Sit-down dining,6,0,0,"pudding, unspecified",
2009,6,Utah,,,,,15,,0,,
2009,3,Utah,Campylobacter jejuni,,Confirmed,Private home/residence,10,0,0,"queso fresco, unpasteurized",milk
2009,2,Colorado,Norovirus,,Suspected,Restaurant - Sit-down dining,6,0,0,"flauta, chicken; chile relleno, unspecified; lettuce",
2009,7,Minnesota,Norovirus,,Confirmed,Other (describe in remarks),6,0,0,"deli meat, sliced turkey",
2009,7,Minnesota,Norovirus,,Confirmed,Restaurant - Sit-down dining,5,0,0,salads,
2009,6,Illinois,Hepatitis A,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",34,14,0,,
2009,2,Colorado,,,,Restaurant - Sit-down dining,4,0,0,,
2009,5,Colorado,Clostridium perfringens,,Suspected,Restaurant - Sit-down dining,5,0,0,ground beef,ground beef
2009,3,North Carolina,Salmonella enterica,Hadar,Confirmed,Long-term care/nursing home/assisted living facility,10,0,0,,
2009,5,California,Salmonella enterica,Infantis,Confirmed,Caterer (food prepared off-site from where served),7,0,0,"vegetable dip, unspecified",
2009,1,Colorado,Norovirus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",10,1,0,"pizza, vegetable",mushrooms
2009,1,Colorado,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,0,"sandwich, roast beef",
2009,1,Colorado,Norovirus,,Suspected,Caterer (food prepared off-site from where served),9,0,0,"sandwich, turkey",
2009,7,Massachusetts,Salmonella enterica,Javiana,Confirmed,,7,1,0,,
2009,5,Indiana,Salmonella enterica,Typhimurium,Confirmed,,7,1,0,,
2009,6,Indiana,,,,Prison/jail,107,0,0,stew/chili/chowder,
2009,7,Tennessee,Salmonella enterica; Salmonella enterica,Heidelberg; Infantis,Confirmed; Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),53,7,0,"pork, bbq",
2009,6,Colorado,Norovirus,,Suspected,Restaurant - Sit-down dining,32,0,0,"sandwich, turkey",lettuce; turkey
2009,6,Kansas,,,,Restaurant - Sit-down dining,2,0,0,,
2009,6,Kansas,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,13,0,0,,
2009,6,Nevada,Norovirus unknown,,Confirmed,Banquet Facility (food prepared and served on-site),44,0,0,,
2009,4,New Hampshire,Salmonella enterica,Enteritidis,Confirmed,Other (describe in remarks),45,1,0,salads,egg
2009,4,New Hampshire,Salmonella enterica,Enteritidis,Confirmed,Camp,133,5,0,"pudding, unspecified",
2009,5,Hawaii,Ciguatoxin,,Confirmed,,6,0,0,,
2009,7,Kansas,,,,Private home/residence,4,0,0,"refried beans, unspecified",
2009,7,Nevada,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,7,0,0,"sandwich, club; french fries",
2009,6,North Dakota,Salmonella enterica,Montevideo,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),55,8,0,,
2009,6,North Dakota,Salmonella enterica,Montevideo,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),36,2,0,taco meat,beef
2009,6,North Dakota,Salmonella enterica,Montevideo,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),88,0,0,roast beef,beef
2009,6,Maine,Salmonella enterica,Enteritidis,Confirmed,Private home/residence,6,1,0,,
2009,7,New York,,,,Camp,24,0,0,"turkey and gravy; turkey loaf; potato, mashed",
2009,6,Connecticut,Cyclospora cayatenensis,,Confirmed,Private home/residence,8,0,0,blackberries; raspberries,
2009,3,Oregon,Salmonella enterica,Heidelberg,Confirmed,Restaurant - Sit-down dining; Private home/residence,26,8,0,chicken,chicken
2009,5,Oregon,Salmonella enterica,Muenchen,Confirmed,Restaurant - Sit-down dining,3,0,0,,
2009,7,Oregon,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining; Other (describe in remarks),31,1,0,mixed green salad,
2009,7,Oregon,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,17,0,0,,
2009,7,Oregon,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),18,0,0,rolls; watermelon; cheese/roll,"bread; cheese, unspecified"
2009,8,Oregon,Clostridium perfringens,,Suspected,Caterer (food prepared off-site from where served),21,0,0,chicken burrito,
2009,5,New York,,,,Restaurant - Sit-down dining,18,2,0,"zucchini, marinated; zucchini, fried; bruschetta; tomatoes with mozzerella; proscuitto with melon; peppers, red, roasted",
2009,2,New York,Norovirus,,Confirmed,Restaurant - Sit-down dining,13,1,0,,
2009,7,New York,,,,Restaurant - Sit-down dining; Banquet Facility (food prepared and served on-site),23,2,0,"bread, unspecified; ice cream",
2009,4,New York,Norovirus,,Confirmed,School/college/university,40,0,0,"deli meat, unspecified; cheese, pre-sliced",
2009,8,Wisconsin,Norovirus Genogroup II,,Confirmed,Other (describe in remarks),24,0,0,,
2009,6,Michigan,Clostridium perfringens,,Confirmed,Private home/residence,20,0,0,"pork, unspecified","pork, other"
2009,7,Ohio,,,,Caterer (food prepared off-site from where served),36,0,0,,
2009,6,California,Norovirus Genogroup I,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",19,0,0,,
2009,6,New Mexico,,,,,12,0,0,,
2009,7,New Mexico,Salmonella enterica,Javiana,Confirmed,,48,2,0,,
2009,7,Ohio,Salmonella enterica,Typhimurium,Confirmed,"Fair, festival, other temp or mobile services",2,1,0,chicken,
2009,3,Michigan,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,4,1,0,"lamb; beef, unspecified",
2009,8,Illinois,,,,Restaurant - Sit-down dining,10,0,0,crispy chicken salad; grilled chicken salad; chicken salad,tomato; tomato; chicken; melon; tomato
2009,7,South Carolina,Clostridium perfringens,,Confirmed,Banquet Facility (food prepared and served on-site),50,0,0,"pork, bbq",
2009,7,New York,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,0,0,"ground beef, hamburger",ground beef
2009,7,New York,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,,2,2,0,"ground beef, hamburger",ground beef
2009,7,New York,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,3,1,0,"ground beef, hamburger",ground beef
2009,3,Kansas,Norovirus unknown,,Confirmed,,5,0,0,,
2009,2,Kansas,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,3,0,0,,
2009,5,Kansas,,,,Restaurant - Sit-down dining,6,0,0,,
2009,4,Minnesota,Salmonella enterica,Cubana,Confirmed,Other (describe in remarks),2,0,0,"sprouts, unspecified",
2009,7,Georgia,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,0,,
2009,8,New York,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,12,2,0,"sandwich, corned beef",
2009,5,Pennsylvania,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,2,0,0,,
2009,7,Georgia,Campylobacter jejuni,,Confirmed,Caterer (food prepared off-site from where served),11,0,0,potato salad,
2009,8,Ohio,,,,,2,0,0,,
2009,7,New Hampshire,Norovirus Genogroup II,,Suspected,Camp,31,1,0,carrots,carrots
